cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,ACTA2,0.5,24.5231,0.136321950689
A,Control,1,ACTA2,1.0,24.28621,0.129814365476
A,Control,1,ACTA2,2.0,24.7947,0.106738739126
A,Control,1,ACTA2,3.0,24.60561,0.148716785493
A,Control,1,ACTA2,4.0,24.58385,0.133443079124
A,Control,1,ACTA2,8.0,24.94535,0.1279528707
A,Control,1,ACTA2,12.0,24.7647,0.121298629592
A,Control,1,ACTA2,24.0,24.16106,0.166078720228
A,Control,1,ACTA2,48.0,23.61874,0.227848141807
A,Control,1,ACTA2,72.0,23.69027,0.316546941016
A,Control,1,ACTA2,96.0,23.75504,0.275196814398
A,Control,1,ADAMTS1,0.5,23.6832,0.244006213361
A,Control,1,ADAMTS1,1.0,23.65769,0.200690182437
A,Control,1,ADAMTS1,2.0,23.82688,0.208768474947
A,Control,1,ADAMTS1,3.0,24.07621,0.214647220602
A,Control,1,ADAMTS1,4.0,24.12511,0.183396293726
A,Control,1,ADAMTS1,8.0,23.95632,0.253967258317
A,Control,1,ADAMTS1,12.0,24.2124,0.177874937676
A,Control,1,ADAMTS1,24.0,23.96745,0.189931241499
A,Control,1,ADAMTS1,48.0,24.23054,0.149099209102
A,Control,1,ADAMTS1,72.0,24.40251,0.193211297463
A,Control,1,ADAMTS1,96.0,24.27189,0.192333993479
A,Control,1,ATP6AP1,0.5,25.14908,0.0883338247512
A,Control,1,ATP6AP1,1.0,24.88977,0.0854344623486
A,Control,1,ATP6AP1,2.0,25.2257,0.0791731893692
A,Control,1,ATP6AP1,3.0,25.37568,0.0872058904229
A,Control,1,ATP6AP1,4.0,25.53424,0.0690557993752
A,Control,1,ATP6AP1,8.0,25.39955,0.0933946953868
A,Control,1,ATP6AP1,12.0,25.55539,0.0701188019369
A,Control,1,ATP6AP1,24.0,25.15272,0.0835207881803
A,Control,1,ATP6AP1,48.0,24.96136,0.0898414180769
A,Control,1,ATP6AP1,72.0,25.70269,0.0784583800962
A,Control,1,ATP6AP1,96.0,25.37416,0.089585911278
A,Control,1,B2M,0.5,20.56929,2.11242451612
A,Control,1,B2M,1.0,20.24445,2.13802978039
A,Control,1,B2M,2.0,20.53812,2.04023562801
A,Control,1,B2M,3.0,20.65242,2.30350287254
A,Control,1,B2M,4.0,20.5091,2.2486301494
A,Control,1,B2M,8.0,20.75852,2.33029793723
A,Control,1,B2M,12.0,20.56335,2.23145568549
A,Control,1,B2M,24.0,20.36489,2.3071457342
A,Control,1,B2M,48.0,20.28832,2.2919324273
A,Control,1,B2M,72.0,20.85828,2.25399038154
A,Control,1,B2M,96.0,20.65875,2.35352907357
A,Control,1,BGN,0.5,24.48317,0.140147682207
A,Control,1,BGN,1.0,24.33369,0.125611629831
A,Control,1,BGN,2.0,25.07229,0.0880560402146
A,Control,1,BGN,3.0,24.92264,0.119378041622
A,Control,1,BGN,4.0,24.61206,0.130859120874
A,Control,1,BGN,8.0,24.72753,0.148805981126
A,Control,1,BGN,12.0,24.70058,0.126811295013
A,Control,1,BGN,24.0,24.34013,0.14669271556
A,Control,1,BGN,48.0,23.81724,0.19855966752
A,Control,1,BGN,72.0,24.053,0.2461758866
A,Control,1,BGN,96.0,24.30154,0.188421522931
A,Control,1,BHLHE40,0.5,28.6668,0.00771236897571
A,Control,1,BHLHE40,1.0,28.74746,0.00589322044325
A,Control,1,BHLHE40,2.0,28.92926,0.00607708749884
A,Control,1,BHLHE40,3.0,28.38594,0.010823488651
A,Control,1,BHLHE40,4.0,28.50204,0.00882680100529
A,Control,1,BHLHE40,8.0,29.50289,0.00543367661145
A,Control,1,BHLHE40,12.0,28.7613,0.00759905195221
A,Control,1,BHLHE40,24.0,28.66258,0.00733198290163
A,Control,1,BHLHE40,48.0,28.57299,0.00734966653679
A,Control,1,BHLHE40,72.0,29.91348,0.00423706612423
A,Control,1,BHLHE40,96.0,28.05327,0.0139877301084
A,Control,1,CAV1,0.5,21.55612,1.06589829743
A,Control,1,CAV1,1.0,21.33393,1.00472588324
A,Control,1,CAV1,2.0,21.63041,0.956903786896
A,Control,1,CAV1,3.0,21.89706,0.972108598036
A,Control,1,CAV1,4.0,21.74251,0.956367088685
A,Control,1,CAV1,8.0,21.72169,1.19527652413
A,Control,1,CAV1,12.0,21.82001,0.933890402559
A,Control,1,CAV1,24.0,21.8053,0.850096860282
A,Control,1,CAV1,48.0,22.11657,0.645421932965
A,Control,1,CAV1,72.0,22.90714,0.544733070044
A,Control,1,CAV1,96.0,22.82687,0.523661220246
A,Control,1,CDKN2A,0.5,27.542,0.0168184643145
A,Control,1,CDKN2A,1.0,26.85925,0.0218152671052
A,Control,1,CDKN2A,2.0,26.48104,0.0331652400764
A,Control,1,CDKN2A,3.0,27.16327,0.025259666417
A,Control,1,CDKN2A,4.0,27.32746,0.0199244869893
A,Control,1,CDKN2A,8.0,28.09076,0.0144606320391
