Row	Column	Assay	Sample	Conc	Ct	Norm init	Norm final	Norm range	R2	Chi2	Straight R2	Efficiency	Outlier	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Ct minus mean
0	0	IL1A	Control_1_B_2												CurveFitFailed																
0	1	ACTA2	Control_1_B_2	-1	24.82872	780	726.2459	-53.75409	0.9994062	298435.4		1.555082	False											8	2375.151	13.61625	26.50778	15772.72	0.2847303	6.640724	
0	2	ATP6AP1	Control_1_B_2	-1	24.22314	804.0492	754.5246	-49.5246	0.9997639	87439.81		1.691489	False											7	1810.198	15.7051	26.13949	9961.973	0.5945913	5.503249	
0	3	BGN	Control_1_B_2	-1	23.15752	781.6885	723.6558	-58.03278	0.9997779	116595.3		1.669548	False											8	2332.06	14.56734	25.25544	11762.2	0.6494537	5.043695	
0	4	IL6	Control_1_B_2	-1	28.9542	808.4918	770.541	-37.95087	0.9997828	72660.88		1.625346	False											10	2255.223	17.61145	30.50405	13818.79	0.3588546	6.12746	
0	5	ITGA2	Control_1_B_2	-1	26.16529	787.8853	740.3279	-47.55737	0.9997067	107131		1.642586	False											8	1893.188	16.15757	27.83179	11609.98	0.4090999	6.132504	
0	6	JUNB	Control_1_B_2	-1	26.9953	733.5246	688.8853	-44.63934	0.9996357	88459.8		1.605764	False											11	1881.885	15.70647	29.33959	9127.218	0.7218598	4.850039	
0	7	LOXL1	Control_1_B_2	-1	22.98656	782.2623	760.2951	-21.96716	0.9997358	73428.82		1.665943	False											11	1772.123	14.45717	24.87535	8885.563	0.5180517	5.014077	
0	8	TGFBR2	Control_1_B_2	-1	23.86902	731.8197	696.3934	-35.42627	0.9998577	116288.9		1.713192	False											14	2207.521	15.78172	25.96823	13725.4	0.7502301	6.217565	
0	9	COL5A1	Control_1_B_2	-1	26.76305	761.1639	710.3771	-50.78687	0.9997619	97481.98		1.51097	False											7	1975.319	13.60477	28.99096	13378.05	0.4505014	6.772603	
0	10	DCN	Control_1_B_2	-1	20.52712	766.459	721.5246	-44.93445	0.999383	793939.2		1.670662	False											17	2571.539	12.81049	22.89836	16446.22	0.7744762	6.395475	
0	11	ELN	Control_1_B_2	-1	32.81912	837.7377	777.8033	-59.93445	0.9983419	124104.2		1.551605	False											8	2088.925	17.97206	34.75662	9786.131	0.4600568	4.684768	
0	12	ETS1	Control_1_B_2	-1	25.94762	789.6721	745.6558	-44.01636	0.9997591	65213.09		1.64001	False											9	2199.448	15.77862	28.17238	9436.612	0.7111905	4.290446	
0	13	CDKN2A	Control_1_B_2	-1	26.25656	803.9344	746.7377	-57.19672	0.9996459	161586.8		1.646391	False											11	2494.75	16.22288	28.09917	12737.41	0.5046994	5.105685	
0	14	PSMD14	Control_1_B_2	-1	26.31377	819.8525	785.2459	-34.60657	0.9997073	160109		1.7375	False											11	2615.525	18.24095	27.65098	14486.01	0.353626	5.538473	
0	15	RARA	Control_1_B_2	-1	28.21333	846.9016	807	-39.90161	0.9996604	44233.8		1.523179	False											6	1882.561	14.79488	29.96101	10122.62	0.3016731	5.377049	
0	16	RHOB	Control_1_B_2	-1	24.68346	838.8688	807.5574	-31.31146	0.9995836	83142.45		1.735491	False											8	2036.931	16.63501	27.09115	7586.084	1.066694	3.724272	
0	17	TIMP3	Control_1_B_2	-1	24.57536	874.8197	826.7049	-48.11481	0.9998802	57281.86		1.639964	False											9	2391.583	14.89918	26.86671	11617.86	0.7318505	4.857812	
0	18	PPP3CA	Control_1_B_2	-1	24.59105	826.0492	770.4262	-55.62299	0.999767	71688.26		1.752867	False											10	2015.22	16.94536	26.73621	8985.353	0.8816301	4.458745	
0	19	CDKN2B	Control_1_B_2	-1	30.04155	836.5246	816.8361	-19.68854	0.9998227	24033.63		1.552351	False											8	2224.214	16.8315	31.07339	19860.25	0.1141201	8.929111	
