Cell.Line,Cell.ID,Lot.Number,Treatment Start Date,Treatment,Time.Point,Replicate,Sub.experiment,Batch,Filename,WG.Plate,factor1,factor2,Iso.Order,Iso.Row,Iso.Col,RNAYield(ug),Label.Order,Label.Row,Label.Col,Sample
HDFn,A,#1366434,20-06-2017,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.HDFn,TGFb.24.A,4,D,1,,62,F,8,TGFb_24_A_1
HDFn,A,#1366434,20-06-2017,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.HDFn,TGFb.96.A,12,D,2,,20,D,3,TGFb_96_A_1
HDFn,A,#1366434,20-06-2017,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.HDFn,TGFb.72.A,15,G,2,,5,E,1,TGFb_72_A_1
HDFn,A,#1366434,20-06-2017,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.HDFn,Control.0.5.A,16,H,2,,31,G,4,Control_0.5_A_1
HDFn,A,#1366434,20-06-2017,Control,1,1,1,1,GSS2375_WellData_p1.txt,1,Control.1.HDFn,Control.1.A,27,C,4,,68,D,9,Control_1_A_1
HDFn,A,#1366434,20-06-2017,Control,48,1,1,1,GSS2375_WellData_p1.txt,1,Control.48.HDFn,Control.48.A,31,G,4,,23,G,3,Control_48_A_1
HDFn,A,#1366434,20-06-2017,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.HDFn,Control.2.A,32,H,4,,24,H,3,Control_2_A_1
HDFn,A,#1366434,20-06-2017,TGFb,12,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.12.HDFn,TGFb.12.A,35,C,5,,25,A,4,TGFb_12_A_1
HDFn,A,#1366434,20-06-2017,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.HDFn,Control.12.A,36,D,5,,59,C,8,Control_12_A_1
HDFn,A,#1366434,20-06-2017,TGFb,0.5,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.0.5.HDFn,TGFb.0.5.A,37,E,5,,52,D,7,TGFb_0.5_A_1
HDFn,A,#1366434,20-06-2017,Control,3,1,1,1,GSS2375_WellData_p1.txt,1,Control.3.HDFn,Control.3.A,40,H,5,,55,G,7,Control_3_A_1
HDFn,A,#1366434,20-06-2017,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.HDFn,TGFb.1.A,46,F,6,,48,H,6,TGFb_1_A_1
HDFn,A,#1366434,20-06-2017,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.HDFn,Control.96.A,48,H,6,,65,A,9,Control_96_A_1
HDFn,A,#1366434,20-06-2017,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.HDFn,TGFb.48.A,51,C,7,,71,G,9,TGFb_48_A_1
HDFn,A,#1366434,20-06-2017,Control,8,1,1,1,GSS2375_WellData_p1.txt,1,Control.8.HDFn,Control.8.A,52,D,7,,2,B,1,Control_8_A_1
HDFn,A,#1366434,20-06-2017,Baseline,96,1,1,1,GSS2375_WellData_p1.txt,1,Baseline.96.HDFn,Baseline.96.A,53,E,7,,15,G,2,Baseline_96_A_1
HDFn,A,#1366434,20-06-2017,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.HDFn,TGFb.2.A,56,H,7,,69,E,9,TGFb_2_A_1
HDFn,A,#1366434,20-06-2017,TGFb,3,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.3.HDFn,TGFb.3.A,57,A,8,,37,E,5,TGFb_3_A_1
HDFn,A,#1366434,20-06-2017,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.HDFn,Control.4.A,58,B,8,,51,C,7,Control_4_A_1
HDFn,A,#1366434,20-06-2017,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.HDFn,Control.24.A,59,C,8,,36,D,5,Control_24_A_1
HDFn,A,#1366434,20-06-2017,TGFb,8,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.8.HDFn,TGFb.8.A,61,E,8,,60,D,8,TGFb_8_A_1
