"","Baseline_A_0 - Baseline_A_96","Baseline_A_0 - Baseline_B_0","Baseline_A_0 - Baseline_B_96","Baseline_A_0 - Baseline_C_0","Baseline_A_0 - Baseline_C_96","Baseline_A_0 - Baseline_D_0","Baseline_A_0 - Baseline_D_96","Baseline_A_0 - Baseline_E_0","Baseline_A_0 - Baseline_E_96","Baseline_A_0 - Baseline_F_0","Baseline_A_0 - Baseline_F_96","Baseline_A_0 - Baseline_G_0","Baseline_A_0 - Baseline_G_96","Baseline_A_0 - Baseline_H_0","Baseline_A_0 - Baseline_H_96","Baseline_A_0 - Baseline_I_0","Baseline_A_0 - Baseline_I_96","Baseline_A_96 - Baseline_B_0","Baseline_A_96 - Baseline_B_96","Baseline_A_96 - Baseline_C_0","Baseline_A_96 - Baseline_C_96","Baseline_A_96 - Baseline_D_0","Baseline_A_96 - Baseline_D_96","Baseline_A_96 - Baseline_E_0","Baseline_A_96 - Baseline_E_96","Baseline_A_96 - Baseline_F_0","Baseline_A_96 - Baseline_F_96","Baseline_A_96 - Baseline_G_0","Baseline_A_96 - Baseline_G_96","Baseline_A_96 - Baseline_H_0","Baseline_A_96 - Baseline_H_96","Baseline_A_96 - Baseline_I_0","Baseline_A_96 - Baseline_I_96","Baseline_B_0 - Baseline_B_96","Baseline_B_0 - Baseline_C_0","Baseline_B_0 - Baseline_C_96","Baseline_B_0 - Baseline_D_0","Baseline_B_0 - Baseline_D_96","Baseline_B_0 - Baseline_E_0","Baseline_B_0 - Baseline_E_96","Baseline_B_0 - Baseline_F_0","Baseline_B_0 - Baseline_F_96","Baseline_B_0 - Baseline_G_0","Baseline_B_0 - Baseline_G_96","Baseline_B_0 - Baseline_H_0","Baseline_B_0 - Baseline_H_96","Baseline_B_0 - Baseline_I_0","Baseline_B_0 - Baseline_I_96","Baseline_B_96 - Baseline_C_0","Baseline_B_96 - Baseline_C_96","Baseline_B_96 - Baseline_D_0","Baseline_B_96 - Baseline_D_96","Baseline_B_96 - Baseline_E_0","Baseline_B_96 - Baseline_E_96","Baseline_B_96 - Baseline_F_0","Baseline_B_96 - Baseline_F_96","Baseline_B_96 - Baseline_G_0","Baseline_B_96 - Baseline_G_96","Baseline_B_96 - Baseline_H_0","Baseline_B_96 - Baseline_H_96","Baseline_B_96 - Baseline_I_0","Baseline_B_96 - Baseline_I_96","Baseline_C_0 - Baseline_C_96","Baseline_C_0 - Baseline_D_0","Baseline_C_0 - Baseline_D_96","Baseline_C_0 - Baseline_E_0","Baseline_C_0 - Baseline_E_96","Baseline_C_0 - Baseline_F_0","Baseline_C_0 - Baseline_F_96","Baseline_C_0 - Baseline_G_0","Baseline_C_0 - Baseline_G_96","Baseline_C_0 - Baseline_H_0","Baseline_C_0 - Baseline_H_96","Baseline_C_0 - Baseline_I_0","Baseline_C_0 - Baseline_I_96","Baseline_C_96 - Baseline_D_0","Baseline_C_96 - Baseline_D_96","Baseline_C_96 - Baseline_E_0","Baseline_C_96 - Baseline_E_96","Baseline_C_96 - Baseline_F_0","Baseline_C_96 - Baseline_F_96","Baseline_C_96 - Baseline_G_0","Baseline_C_96 - Baseline_G_96","Baseline_C_96 - Baseline_H_0","Baseline_C_96 - Baseline_H_96","Baseline_C_96 - Baseline_I_0","Baseline_C_96 - Baseline_I_96","Baseline_D_0 - Baseline_D_96","Baseline_D_0 - Baseline_E_0","Baseline_D_0 - Baseline_E_96","Baseline_D_0 - Baseline_F_0","Baseline_D_0 - Baseline_F_96","Baseline_D_0 - Baseline_G_0","Baseline_D_0 - Baseline_G_96","Baseline_D_0 - Baseline_H_0","Baseline_D_0 - Baseline_H_96","Baseline_D_0 - Baseline_I_0","Baseline_D_0 - Baseline_I_96","Baseline_D_96 - Baseline_E_0","Baseline_D_96 - Baseline_E_96","Baseline_D_96 - Baseline_F_0","Baseline_D_96 - Baseline_F_96","Baseline_D_96 - Baseline_G_0","Baseline_D_96 - Baseline_G_96","Baseline_D_96 - Baseline_H_0","Baseline_D_96 - Baseline_H_96","Baseline_D_96 - Baseline_I_0","Baseline_D_96 - Baseline_I_96","Baseline_E_0 - Baseline_E_96","Baseline_E_0 - Baseline_F_0","Baseline_E_0 - Baseline_F_96","Baseline_E_0 - Baseline_G_0","Baseline_E_0 - Baseline_G_96","Baseline_E_0 - Baseline_H_0","Baseline_E_0 - Baseline_H_96","Baseline_E_0 - Baseline_I_0","Baseline_E_0 - Baseline_I_96","Baseline_E_96 - Baseline_F_0","Baseline_E_96 - Baseline_F_96","Baseline_E_96 - Baseline_G_0","Baseline_E_96 - Baseline_G_96","Baseline_E_96 - Baseline_H_0","Baseline_E_96 - Baseline_H_96","Baseline_E_96 - Baseline_I_0","Baseline_E_96 - Baseline_I_96","Baseline_F_0 - Baseline_F_96","Baseline_F_0 - Baseline_G_0","Baseline_F_0 - Baseline_G_96","Baseline_F_0 - Baseline_H_0","Baseline_F_0 - Baseline_H_96","Baseline_F_0 - Baseline_I_0","Baseline_F_0 - Baseline_I_96","Baseline_F_96 - Baseline_G_0","Baseline_F_96 - Baseline_G_96","Baseline_F_96 - Baseline_H_0","Baseline_F_96 - Baseline_H_96","Baseline_F_96 - Baseline_I_0","Baseline_F_96 - Baseline_I_96","Baseline_G_0 - Baseline_G_96","Baseline_G_0 - Baseline_H_0","Baseline_G_0 - Baseline_H_96","Baseline_G_0 - Baseline_I_0","Baseline_G_0 - Baseline_I_96","Baseline_G_96 - Baseline_H_0","Baseline_G_96 - Baseline_H_96","Baseline_G_96 - Baseline_I_0","Baseline_G_96 - Baseline_I_96","Baseline_H_0 - Baseline_H_96","Baseline_H_0 - Baseline_I_0","Baseline_H_0 - Baseline_I_96","Baseline_H_96 - Baseline_I_0","Baseline_H_96 - Baseline_I_96","Baseline_I_0 - Baseline_I_96"
"ACTA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS1",0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"ATP6AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHE40",0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"CAV1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
"COL1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
