"","x"
"Baseline_C_0 - Baseline_H_96",-21
"Baseline_D_0 - Baseline_H_96",-21
"Baseline_B_0 - Baseline_H_96",-20
"Baseline_D_0 - Baseline_I_96",-20
"Baseline_C_0 - Baseline_H_0",-19
"Baseline_A_0 - Baseline_H_96",-18
"Baseline_D_0 - Baseline_H_0",-18
"Baseline_B_0 - Baseline_H_0",-17
"Baseline_B_96 - Baseline_H_96",-17
"Baseline_C_96 - Baseline_H_96",-17
"Baseline_A_96 - Baseline_H_0",-16
"Baseline_A_96 - Baseline_H_96",-16
"Baseline_B_96 - Baseline_H_0",-16
"Baseline_C_96 - Baseline_H_0",-16
"Baseline_D_96 - Baseline_H_0",-16
"Baseline_A_0 - Baseline_H_0",-15
"Baseline_D_96 - Baseline_H_96",-15
"Baseline_B_0 - Baseline_I_96",-14
"Baseline_C_0 - Baseline_I_96",-13
"Baseline_A_96 - Baseline_I_96",-12
"Baseline_E_0 - Baseline_H_96",-12
"Baseline_A_0 - Baseline_I_96",-11
"Baseline_A_96 - Baseline_I_0",-11
"Baseline_B_0 - Baseline_I_0",-10
"Baseline_A_0 - Baseline_F_96",-9
"Baseline_A_0 - Baseline_I_0",-9
"Baseline_B_0 - Baseline_F_96",-9
"Baseline_B_96 - Baseline_I_96",-9
"Baseline_C_0 - Baseline_F_96",-9
"Baseline_C_96 - Baseline_I_96",-9
"Baseline_D_0 - Baseline_F_96",-9
"Baseline_D_0 - Baseline_I_0",-9
"Baseline_D_96 - Baseline_I_96",-9
"Baseline_E_0 - Baseline_H_0",-9
"Baseline_A_96 - Baseline_F_96",-8
"Baseline_B_96 - Baseline_F_96",-8
"Baseline_B_96 - Baseline_I_0",-8
"Baseline_C_96 - Baseline_F_96",-8
"Baseline_E_0 - Baseline_I_96",-8
"Baseline_G_0 - Baseline_H_96",-8
"Baseline_A_0 - Baseline_F_0",-7
"Baseline_A_0 - Baseline_G_0",-7
"Baseline_A_0 - Baseline_G_96",-7
"Baseline_A_96 - Baseline_F_0",-7
"Baseline_A_96 - Baseline_G_0",-7
"Baseline_B_0 - Baseline_F_0",-7
"Baseline_B_0 - Baseline_G_0",-7
"Baseline_B_0 - Baseline_G_96",-7
"Baseline_B_96 - Baseline_F_0",-7
"Baseline_B_96 - Baseline_G_0",-7
"Baseline_B_96 - Baseline_G_96",-7
